x,y,pixel_x,pixel_y,gap_before
6,68,416,1262,0
8,60,424,1285,0
10,54,433,1303,0
13,48,446,1321,0
16,43,460,1336,0
20,37,478,1353,0
25,31,500,1371,0
30,26,522,1386,0
35,24,544,1392,0
40,22,566,1398,0
45,21,589,1401,0
50,22,611,1398,0
55,20,633,1404,0
60,21,655,1401,0
65,23,677,1395,0
70,26,699,1386,0
73,27,713,1383,0
76,25,726,1389,0
80,21,744,1401,0
85,16,766,1416,0
90,11,788,1431,0
95,7,810,1442,0
100,4,832,1451,0
105,3,854,1454,0
110,2,877,1457,0
115,1,899,1460,0
120,0,921,1463,0
